Station,Name,longitude,latitude,dS2S
1,CHBH10,431562.1486,3933469.078,0.616637249
2,CHBH11,423267.3414,3904798.167,0.397254711
3,CHBH12,396277.267,3911479.575,0.630199376
4,CHBH13,436890.4796,3965041.204,0.439540123
5,CHBH14,484291.8114,3954115.905,0.385047034
6,CHBH15,389678.5356,3868808.02,0.180552153
7,CHBH16,405990.7162,3888512.538,0.966405354
8,CHBH17,440179.1909,3891882.496,-0.162442991
9,CHBH20,418221.5415,3882815.135,-0.05292904
10,GNMH05,337315.4278,4019978.61,0.720211817
11,GNMH07,340416.6063,4062714.105,-0.649551231
12,GNMH08,278521.8522,4040986.318,0.784658796
13,GNMH09,313102.0729,4054542.107,-0.413818667
14,GNMH10,296194.0345,4012121.308,-0.947077911
15,GNMH11,313571.7068,4017348.12,0.005496704
16,GNMH12,312505.0208,4001587.961,-0.286519382
17,GNMH13,327584.6596,4080965.847,-0.319822254
18,GNMH14,349978.0977,4039591.959,-0.914963047
19,IBRH07,439881.7667,3978486.053,1.878131449
20,IBRH10,409264.7156,3996375.586,1.8609856
21,IBRH11,423155.0163,4024984.903,0.451637504
22,IBRH12,439498.1956,4076650.288,-0.144500362
23,IBRH13,462385.8569,4071925.915,-0.142477422
24,IBRH14,459958.9807,4060466.606,-0.808537276
25,IBRH15,437765.6912,4045567.475,-0.459514884
26,IBRH16,446442.1053,4054816.301,-0.038666878
27,IBRH17,438534.1182,3993392.293,0.766007031
28,IBRH18,466185.842,4023933.762,0.017644876
29,IBRH19,418435.1507,4007689.056,-0.769475099
30,IBRH20,476117.7529,3964593.115,0.526293655
31,KNGH10,366007.3975,3929041.89,0.881605446
32,KNGH11,350810.3722,3918719.907,1.061337761
33,KNGH18,330825.6239,3945672.462,0.000898041
34,KNGH19,322658.2478,3920707.696,-0.587323477
35,KNGH20,330024.8109,3914917.142,-0.153144513
36,KNGH21,338267.9903,3925461.39,-0.745835032
37,KNGH22,326836.5994,3914090.266,0.170621842
38,SITH03,354472.2086,3973592.103,0.364971377
39,SITH04,367941.4684,3962706.88,0.170017802
40,SITH05,324893.1803,4002096.67,-0.526493224
41,SITH06,346323.0773,3997498.851,0.296315766
42,SITH07,333215.9987,3975389.002,-0.620109468
43,SITH08,317283.4307,3988545.761,-0.363275877
44,SITH09,329111.7485,3993190.395,-0.572670174
45,SITH10,339758.5524,3984666.529,-0.664256183
46,SITH11,344321.2976,3969848.506,-0.069948639
47,TCGH06,406263.6361,4033560.419,0.540788305
48,TCGH07,362460.5398,4082517.006,-0.519293022
49,TCGH08,379618.8984,4082378.949,-0.249705412
50,TCGH09,396569.2908,4079903.611,-0.204457665
51,TCGH10,413153.6738,4079196.829,0.319328109
52,TCGH11,390429.3025,4062760.25,0.061659584
53,TCGH12,409549.2483,4061272.128,0.506457936
54,TCGH13,426907.7957,4065355.382,0.050697299
55,TCGH14,376360.9247,4045597.929,-0.724475023
56,TCGH15,398596.6344,4046261.483,0.259449649
57,TCGH16,417512.5013,4044783.63,1.070718673
58,TCGH17,383901.0243,4093704.003,-0.982043972
59,TKYH12,343255.5424,3948385.276,-0.067644638
60,TKYH13,330866.5762,3952107.81,-0.902026379
